S2=S3;S9=S10;S17=S23,S24,S25,S26;S19=S20,S27,S28,S29,S30;S21=S22,S31,S32,S33,S34
;S0;S1;S2;S4;S5;S6;S7;S8;S9;S11;S12;S13;S14;S15;S16;S17;S19;S21
S0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1
S1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1
S2;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0
S4;0;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1
S5;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1
S6;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;1
S7;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0
S8;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0
S9;1;0;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0
S11;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0
S12;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0
S13;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1
S14;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1
S15;0;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0
S16;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0
S17;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1
S19;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1
S21;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1
